channel,coverage_68,depth_max_km,depth_min_km,method,posterior_std_mean,scale_label,test_set
rho,0.3621459901332855,100.0,60.0,DI-Weak,0.08008034527301788,temperature_scaled,in-prior
vp,0.7537841796875,128.0,100.0,DI-Weak,0.40828630328178406,temperature_scaled,in-prior
vs,0.9412144422531128,128.0,100.0,DI-Weak,0.22505542635917664,temperature_scaled,in-prior
rho,0.2580217719078064,128.0,100.0,DI-Weak,0.06882233172655106,temperature_scaled,in-prior
vp,0.501513659954071,10.0,0.0,DI-Weak,0.2109089195728302,raw,boundary
vs,0.61767578125,10.0,0.0,DI-Weak,0.1584787368774414,raw,boundary
rho,0.4527343809604645,10.0,0.0,DI-Weak,0.05386565998196602,raw,boundary
vp,0.5047851800918579,30.0,10.0,DI-Weak,0.260336697101593,raw,boundary
vs,0.5927734375,30.0,10.0,DI-Weak,0.16862322390079498,raw,boundary
rho,0.49836426973342896,30.0,10.0,DI-Weak,0.05332197621464729,raw,boundary
vp,0.6298177242279053,60.0,30.0,DI-Weak,0.26116782426834106,raw,boundary
vs,0.7189778685569763,60.0,30.0,DI-Weak,0.15932923555374146,raw,boundary
rho,0.6549479365348816,60.0,30.0,DI-Weak,0.06528110057115555,raw,boundary
vp,0.3355468809604645,100.0,60.0,DI-Weak,0.2225383073091507,raw,boundary
vs,0.4320434629917145,100.0,60.0,DI-Weak,0.1255752146244049,raw,boundary
rho,0.3427734375,100.0,60.0,DI-Weak,0.06550299376249313,raw,boundary
vp,0.4112897515296936,128.0,100.0,DI-Weak,0.3072163164615631,raw,boundary
vs,0.4705287516117096,128.0,100.0,DI-Weak,0.16923539340496063,raw,boundary
rho,0.3709716796875,128.0,100.0,DI-Weak,0.08819238841533661,raw,boundary
vp,0.72900390625,10.0,0.0,DI-Weak,0.35574421286582947,temperature_scaled,boundary
vs,0.819580078125,10.0,0.0,DI-Weak,0.26730918884277344,temperature_scaled,boundary
rho,0.6725097894668579,10.0,0.0,DI-Weak,0.09085627645254135,temperature_scaled,boundary
vp,0.6999267339706421,30.0,10.0,DI-Weak,0.43911510705947876,temperature_scaled,boundary
vs,0.750781238079071,30.0,10.0,DI-Weak,0.28442010283470154,temperature_scaled,boundary
rho,0.6924804449081421,30.0,10.0,DI-Weak,0.08993923664093018,temperature_scaled,boundary
vp,0.823925793170929,60.0,30.0,DI-Weak,0.4405169188976288,temperature_scaled,boundary
vs,0.8709309697151184,60.0,30.0,DI-Weak,0.2687438130378723,temperature_scaled,boundary
rho,0.8557779788970947,60.0,30.0,DI-Weak,0.11011092364788055,temperature_scaled,boundary
vp,0.524169921875,100.0,60.0,DI-Weak,0.37535974383354187,temperature_scaled,boundary
vs,0.630358874797821,100.0,60.0,DI-Weak,0.21181020140647888,temperature_scaled,boundary
rho,0.552600085735321,100.0,60.0,DI-Weak,0.11048519611358643,temperature_scaled,boundary
vp,0.6050328016281128,128.0,100.0,DI-Weak,0.5181877613067627,temperature_scaled,boundary
vs,0.6503731608390808,128.0,100.0,DI-Weak,0.285452663898468,temperature_scaled,boundary
rho,0.5655517578125,128.0,100.0,DI-Weak,0.14875583350658417,temperature_scaled,boundary
vp,0.3214355409145355,10.0,0.0,DI-Weak,0.20465174317359924,raw,out-of-prior
vs,0.40522462129592896,10.0,0.0,DI-Weak,0.1495244801044464,raw,out-of-prior
rho,0.24477538466453552,10.0,0.0,DI-Weak,0.0582183375954628,raw,out-of-prior
vp,0.30791014432907104,30.0,10.0,DI-Weak,0.3370293080806732,raw,out-of-prior
vs,0.3259521424770355,30.0,10.0,DI-Weak,0.21105411648750305,raw,out-of-prior
rho,0.2978759706020355,30.0,10.0,DI-Weak,0.06495200097560883,raw,out-of-prior
vp,0.29374998807907104,60.0,30.0,DI-Weak,0.3366309106349945,raw,out-of-prior
vs,0.3244466185569763,60.0,30.0,DI-Weak,0.20055460929870605,raw,out-of-prior
rho,0.31466472148895264,60.0,30.0,DI-Weak,0.08326259255409241,raw,out-of-prior
vp,0.17249755561351776,100.0,60.0,DI-Weak,0.34994956851005554,raw,out-of-prior
vs,0.19544677436351776,100.0,60.0,DI-Weak,0.19657102227210999,raw,out-of-prior
rho,0.17215576767921448,100.0,60.0,DI-Weak,0.1000765934586525,raw,out-of-prior
vp,0.1798967570066452,128.0,100.0,DI-Weak,0.46138089895248413,raw,out-of-prior
