bin_left,bin_right,count,method,scale_label,test_set
0.55,0.6000000000000001,26089,DI-Weak,raw,boundary
0.6000000000000001,0.65,25824,DI-Weak,raw,boundary
0.65,0.7000000000000001,25740,DI-Weak,raw,boundary
0.7000000000000001,0.75,25096,DI-Weak,raw,boundary
0.75,0.8,32038,DI-Weak,raw,boundary
0.8,0.8500000000000001,23128,DI-Weak,raw,boundary
0.8500000000000001,0.9,22155,DI-Weak,raw,boundary
0.9,0.9500000000000001,23250,DI-Weak,raw,boundary
0.9500000000000001,1.0,45232,DI-Weak,raw,boundary
0.0,0.05,122955,DI-Weak,temperature_scaled,boundary
0.05,0.1,36206,DI-Weak,temperature_scaled,boundary
0.1,0.15000000000000002,33600,DI-Weak,temperature_scaled,boundary
0.15000000000000002,0.2,35396,DI-Weak,temperature_scaled,boundary
0.2,0.25,37206,DI-Weak,temperature_scaled,boundary
0.25,0.30000000000000004,52729,DI-Weak,temperature_scaled,boundary
0.30000000000000004,0.35000000000000003,43374,DI-Weak,temperature_scaled,boundary
0.35000000000000003,0.4,45099,DI-Weak,temperature_scaled,boundary
0.4,0.45,46284,DI-Weak,temperature_scaled,boundary
0.45,0.5,46639,DI-Weak,temperature_scaled,boundary
0.5,0.55,58209,DI-Weak,temperature_scaled,boundary
0.55,0.6000000000000001,40986,DI-Weak,temperature_scaled,boundary
0.6000000000000001,0.65,37693,DI-Weak,temperature_scaled,boundary
0.65,0.7000000000000001,32650,DI-Weak,temperature_scaled,boundary
0.7000000000000001,0.75,27717,DI-Weak,temperature_scaled,boundary
0.75,0.8,30270,DI-Weak,temperature_scaled,boundary
0.8,0.8500000000000001,18417,DI-Weak,temperature_scaled,boundary
0.8500000000000001,0.9,14358,DI-Weak,temperature_scaled,boundary
0.9,0.9500000000000001,11448,DI-Weak,temperature_scaled,boundary
0.9500000000000001,1.0,15196,DI-Weak,temperature_scaled,boundary
0.0,0.05,464954,DI-Weak,raw,out-of-prior
0.05,0.1,29949,DI-Weak,raw,out-of-prior
0.1,0.15000000000000002,22376,DI-Weak,raw,out-of-prior
0.15000000000000002,0.2,18820,DI-Weak,raw,out-of-prior
0.2,0.25,17103,DI-Weak,raw,out-of-prior
0.25,0.30000000000000004,21745,DI-Weak,raw,out-of-prior
0.30000000000000004,0.35000000000000003,14773,DI-Weak,raw,out-of-prior
0.35000000000000003,0.4,14395,DI-Weak,raw,out-of-prior
0.4,0.45,13760,DI-Weak,raw,out-of-prior
0.45,0.5,13207,DI-Weak,raw,out-of-prior
0.5,0.55,16330,DI-Weak,raw,out-of-prior
0.55,0.6000000000000001,12049,DI-Weak,raw,out-of-prior
0.6000000000000001,0.65,11585,DI-Weak,raw,out-of-prior
0.65,0.7000000000000001,11271,DI-Weak,raw,out-of-prior
0.7000000000000001,0.75,10999,DI-Weak,raw,out-of-prior
0.75,0.8,14655,DI-Weak,raw,out-of-prior
0.8,0.8500000000000001,11454,DI-Weak,raw,out-of-prior
0.8500000000000001,0.9,12134,DI-Weak,raw,out-of-prior
0.9,0.9500000000000001,13391,DI-Weak,raw,out-of-prior
0.9500000000000001,1.0,41482,DI-Weak,raw,out-of-prior
0.0,0.05,124155,DI-Weak,temperature_scaled,out-of-prior
0.05,0.1,47983,DI-Weak,temperature_scaled,out-of-prior
0.1,0.15000000000000002,51413,DI-Weak,temperature_scaled,out-of-prior
0.15000000000000002,0.2,56334,DI-Weak,temperature_scaled,out-of-prior
0.2,0.25,61563,DI-Weak,temperature_scaled,out-of-prior
0.25,0.30000000000000004,81166,DI-Weak,temperature_scaled,out-of-prior
0.30000000000000004,0.35000000000000003,56061,DI-Weak,temperature_scaled,out-of-prior
0.35000000000000003,0.4,51230,DI-Weak,temperature_scaled,out-of-prior
0.4,0.45,49313,DI-Weak,temperature_scaled,out-of-prior
0.45,0.5,46738,DI-Weak,temperature_scaled,out-of-prior
0.5,0.55,50226,DI-Weak,temperature_scaled,out-of-prior
0.55,0.6000000000000001,28503,DI-Weak,temperature_scaled,out-of-prior
0.6000000000000001,0.65,22363,DI-Weak,temperature_scaled,out-of-prior
0.65,0.7000000000000001,16837,DI-Weak,temperature_scaled,out-of-prior
0.7000000000000001,0.75,12681,DI-Weak,temperature_scaled,out-of-prior
0.75,0.8,11337,DI-Weak,temperature_scaled,out-of-prior
0.8,0.8500000000000001,5940,DI-Weak,temperature_scaled,out-of-prior
0.8500000000000001,0.9,4315,DI-Weak,temperature_scaled,out-of-prior
0.9,0.9500000000000001,3653,DI-Weak,temperature_scaled,out-of-prior
0.9500000000000001,1.0,4621,DI-Weak,temperature_scaled,out-of-prior
